mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.0021369457244873047,0.0005525184292436305,0.0009953498840332032,0.00019278517460543867,10,1,2,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.9090909090909091,0.8181818181818182,1.0,0.7272727272727273,1.0,1.0,0.9,1.0,0.9,0.9,0.9154545454545454,0.08615285282326277,20
0.00195770263671875,0.00038450842494113055,0.001026463508605957,0.00014536750689268959,10,1,5,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7272727272727273,1.0,0.9,0.9,1.0,0.9,0.9,0.9054545454545455,0.0705585742252082,33
0.0019876956939697266,0.00035039081657850404,0.0010389566421508789,0.00019715253260569316,10,1,10,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7272727272727273,1.0,0.9,0.9,1.0,0.9,1.0,0.9154545454545454,0.07595670798292475,20
0.001958608627319336,0.0001431031927164185,0.001011800765991211,0.00020778596499613293,10,2,2,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7272727272727273,1.0,0.9,0.9,1.0,0.9,0.9,0.9054545454545455,0.0705585742252082,33
0.0017810583114624024,4.076219374743159e-05,0.0009505510330200196,6.235860155642476e-05,10,2,5,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",1.0,0.9090909090909091,0.9090909090909091,0.8181818181818182,1.0,0.9,0.9,1.0,0.9,0.9,0.9236363636363636,0.05592202363356253,17
0.001969456672668457,0.0002100586820139894,0.001011490821838379,8.284730013317832e-05,10,2,10,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",1.0,0.9090909090909091,0.9090909090909091,0.7272727272727273,1.0,0.9,0.9,1.0,0.9,1.0,0.9245454545454546,0.07998450263117865,13
0.0022138118743896484,0.0005641276326971302,0.0011375904083251952,0.000206171153558708,10,4,2,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",1.0,1.0,1.0,0.7272727272727273,1.0,1.0,0.9,1.0,0.9,1.0,0.9527272727272728,0.0848722910326095,1
0.0021356821060180666,0.00024261711831889918,0.0010935068130493164,0.00020068195430059923,10,4,5,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}",0.9090909090909091,1.0,1.0,0.7272727272727273,1.0,1.0,0.9,1.0,0.9,1.0,0.9436363636363637,0.08418790474756527,2
0.002002716064453125,0.00017311556446628065,0.0010783672332763672,0.00024631484846807724,10,4,10,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}",0.9090909090909091,1.0,1.0,0.7272727272727273,1.0,1.0,0.9,1.0,0.9,1.0,0.9436363636363637,0.08418790474756527,2
0.0018938779830932617,0.00013432927822324623,0.0009677886962890625,4.704534463378325e-05,20,1,2,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.9090909090909091,0.8181818181818182,1.0,0.7272727272727273,1.0,1.0,0.9,1.0,0.9,0.9,0.9154545454545454,0.08615285282326277,20
0.0018378734588623048,0.00011268269429280599,0.0009446620941162109,5.246246842046685e-05,20,1,5,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.9090909090909091,0.8181818181818182,0.9090909090909091,0.8181818181818182,1.0,0.9,0.9,1.0,0.9,0.9,0.9054545454545455,0.057668187371468005,33
0.0018984317779541016,0.00015150007276369584,0.0010303735733032226,0.00013952588713266425,20,1,10,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.9090909090909091,0.8181818181818182,0.9090909090909091,0.7272727272727273,1.0,0.9,0.9,1.0,0.9,1.0,0.9063636363636363,0.08141821430020871,30
0.001852130889892578,9.567551916428003e-05,0.0010102272033691406,0.0001172090468832437,20,2,2,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8181818181818182,1.0,0.9,0.9,1.0,0.9,0.9,0.9145454545454547,0.049826144021980795,25
0.001859903335571289,0.00011477664538565295,0.001053166389465332,0.00014195539304691384,20,2,5,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",1.0,0.9090909090909091,0.9090909090909091,0.8181818181818182,1.0,0.9,0.9,1.0,0.9,0.9,0.9236363636363636,0.05592202363356253,17
0.001969456672668457,0.0002924652100246874,0.0010442495346069335,0.0001597613153777062,20,2,10,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",1.0,0.9090909090909091,0.9090909090909091,0.7272727272727273,1.0,0.9,0.9,1.0,0.9,1.0,0.9245454545454546,0.07998450263117865,13
