mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__metric,param_classifier__n_neighbors,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.004608678817749024,0.004187074381628144,0.0044441699981689455,0.003580664651747973,minkowski,5,uniform,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 5, 'classifier__weights': 'uniform'}",0.8181818181818182,0.9090909090909091,0.9090909090909091,0.8181818181818182,1.0,0.9,0.9,1.0,0.9,1.0,0.9154545454545454,0.06416018177670503,25
0.0033601045608520506,0.00037450652056065224,0.0027861833572387696,0.0011682922368180862,minkowski,5,distance,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.8181818181818182,1.0,0.9090909090909091,0.8181818181818182,1.0,0.9,0.9,1.0,0.9,1.0,0.9245454545454546,0.06888126087096223,10
0.003168964385986328,0.0005718187600943616,0.0033115386962890626,0.0006189055189830174,minkowski,7,uniform,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 7, 'classifier__weights': 'uniform'}",0.7272727272727273,0.9090909090909091,1.0,0.9090909090909091,1.0,1.0,0.9,1.0,0.9,1.0,0.9345454545454546,0.08250219130573402,3
0.0023373126983642577,0.0003946203346444821,0.001652693748474121,0.0004502654193976542,minkowski,7,distance,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 7, 'classifier__weights': 'distance'}",0.8181818181818182,1.0,1.0,0.8181818181818182,1.0,1.0,0.9,1.0,0.9,1.0,0.9436363636363637,0.07372049066441196,1
0.0027837753295898438,0.00040165686761330067,0.0027536869049072264,0.0006215721680223326,minkowski,9,uniform,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 9, 'classifier__weights': 'uniform'}",0.7272727272727273,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0,0.9,0.9,0.9,1.0,0.9154545454545454,0.07595670798292475,25
0.002505922317504883,0.0006756516025997291,0.0017526626586914062,0.00039960770121882954,minkowski,9,distance,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 9, 'classifier__weights': 'distance'}",0.8181818181818182,1.0,0.9090909090909091,0.8181818181818182,1.0,1.0,0.9,1.0,0.9,1.0,0.9345454545454546,0.07178940735418046,3
0.0024621009826660155,0.000533773693753652,0.002730703353881836,0.0006719732313476291,minkowski,11,uniform,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.8181818181818182,1.0,0.9090909090909091,0.8181818181818182,1.0,1.0,0.9,0.9,0.9,1.0,0.9245454545454546,0.06888126087096223,10
0.0025484323501586913,0.0004931956192405467,0.0015836000442504884,0.0004809780382374374,minkowski,11,distance,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.8181818181818182,1.0,0.9090909090909091,0.8181818181818182,1.0,1.0,0.9,1.0,0.9,1.0,0.9345454545454546,0.07178940735418046,3
0.002682924270629883,0.0005418664989995964,0.00246732234954834,0.0005138742116769022,minkowski,13,uniform,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 13, 'classifier__weights': 'uniform'}",0.8181818181818182,1.0,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.9,0.9,0.9,0.9,1.0,0.9054545454545455,0.057668187371468005,32
0.002529597282409668,0.0007276190791636566,0.002106308937072754,0.0005177794555530768,minkowski,13,distance,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 13, 'classifier__weights': 'distance'}",0.8181818181818182,1.0,0.9090909090909091,0.8181818181818182,1.0,0.9,0.9,1.0,0.9,1.0,0.9245454545454546,0.06888126087096223,10
0.002489805221557617,0.0005090428176779198,0.0025388002395629883,0.000503308806307087,minkowski,15,uniform,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 15, 'classifier__weights': 'uniform'}",0.8181818181818182,1.0,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.9,0.9,0.9,0.9,1.0,0.9054545454545455,0.057668187371468005,32
0.002462625503540039,0.0004797189534545403,0.0016965389251708985,0.00045634703430721897,minkowski,15,distance,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 15, 'classifier__weights': 'distance'}",0.8181818181818182,1.0,0.9090909090909091,0.8181818181818182,1.0,0.9,0.9,1.0,0.9,1.0,0.9245454545454546,0.06888126087096223,10
0.002397918701171875,0.0005639741390790312,0.002616477012634277,0.0004839743772669494,euclidean,5,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__weights': 'uniform'}",0.8181818181818182,0.9090909090909091,0.9090909090909091,0.8181818181818182,1.0,0.9,0.9,1.0,0.9,1.0,0.9154545454545454,0.06416018177670503,25
0.0022837162017822266,0.0004020280535445839,0.0020447969436645508,0.00033813267706883816,euclidean,5,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.8181818181818182,1.0,0.9090909090909091,0.8181818181818182,1.0,0.9,0.9,1.0,0.9,1.0,0.9245454545454546,0.06888126087096223,10
0.002289891242980957,0.0005195158153757176,0.0026281118392944337,0.0004507299479715293,euclidean,7,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 7, 'classifier__weights': 'uniform'}",0.7272727272727273,0.9090909090909091,1.0,0.9090909090909091,1.0,1.0,0.9,1.0,0.9,1.0,0.9345454545454546,0.08250219130573402,3
