mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__bootstrap,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.01766021251678467,0.001628984671447627,0.0018844127655029297,0.00026692087682910783,True,,1,2,20,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 20}",0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.9,1.0,0.9,1.0,1.0,0.9345454545454546,0.05916778216462901,10
0.07629594802856446,0.006500612027291921,0.0032107353210449217,0.00044157853567205053,True,,1,2,100,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8181818181818182,1.0,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.9,1.0,0.9,1.0,1.0,0.9254545454545454,0.06861077186950255,29
0.15067617893218993,0.010092715427202196,0.005285024642944336,0.0005292707409931772,True,,1,2,200,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8181818181818182,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,1.0,0.9,1.0,1.0,0.9345454545454546,0.05916778216462901,10
0.016237568855285645,0.0010935993372724218,0.0016829729080200194,0.00017680188349070237,True,,1,5,20,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 20}",0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,1.0,0.9,1.0,1.0,0.9436363636363637,0.046140281965270986,2
0.07175376415252685,0.003344702899090201,0.002994227409362793,0.00020393824247860417,True,,1,5,100,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8181818181818182,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,1.0,0.9,1.0,1.0,0.9345454545454546,0.05916778216462901,10
0.15420184135437012,0.009289571089811854,0.00524451732635498,0.0006564245555860734,True,,1,5,200,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,1.0,0.9,1.0,1.0,0.9254545454545454,0.05526794237662058,29
0.016559386253356935,0.0007963408924442628,0.0016683578491210938,0.00014587874902419033,True,,2,2,20,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 20}",0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,1.0,0.9,1.0,1.0,0.9436363636363637,0.046140281965270986,2
0.08240199089050293,0.018940276549433147,0.0036285877227783202,0.0009418560901605727,True,,2,2,100,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8181818181818182,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,1.0,0.9,1.0,1.0,0.9345454545454546,0.05916778216462901,10
0.14845647811889648,0.006716762629398713,0.005522871017456054,0.0013870940914270983,True,,2,2,200,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,1.0,0.9,1.0,1.0,0.9254545454545454,0.05526794237662058,29
0.01678450107574463,0.0010788088052476118,0.0019365310668945312,0.00046388927402429896,True,,2,5,20,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 20}",0.8181818181818182,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,1.0,0.9,1.0,1.0,0.9345454545454546,0.05916778216462901,10
0.0737903356552124,0.0038314566363263545,0.003119349479675293,0.0002168637951774026,True,,2,5,100,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,1.0,1.0,1.0,1.0,0.9354545454545455,0.058697994390392465,7
0.1485520601272583,0.004322913287754169,0.0049904584884643555,0.00047392498583226426,True,,2,5,200,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,1.0,0.9,1.0,1.0,0.9254545454545454,0.05526794237662058,29
